trash,frame,trash,rgyr
frame,0,:,14.696586608886719
frame,1,:,13.558311462402344
frame,2,:,14.390976905822754
frame,3,:,13.084181785583496
frame,4,:,12.264410018920898
frame,5,:,12.164973258972168
frame,6,:,11.98409652709961
frame,7,:,12.052849769592285
frame,8,:,12.165789604187012
frame,9,:,12.078208923339844
frame,10,:,11.65025520324707
frame,11,:,11.60786247253418
frame,12,:,11.575760841369629
frame,13,:,12.197958946228027
frame,14,:,11.333406448364258
frame,15,:,13.000627517700195
frame,16,:,12.294191360473633
frame,17,:,14.347209930419922
frame,18,:,13.118768692016602
frame,19,:,13.272600173950195
frame,20,:,14.202230453491211
frame,21,:,12.578620910644531
frame,22,:,13.114941596984863
frame,23,:,14.340900421142578
frame,24,:,13.267865180969238
frame,25,:,13.850848197937012
frame,26,:,12.4671049118042
frame,27,:,13.836640357971191
frame,28,:,12.405890464782715
frame,29,:,11.92475414276123
frame,30,:,12.5313720703125
frame,31,:,12.62259292602539
frame,32,:,12.414435386657715
frame,33,:,12.648518562316895
frame,34,:,11.678653717041016
frame,35,:,12.041144371032715
frame,36,:,12.134844779968262
frame,37,:,12.276330947875977
frame,38,:,14.366364479064941
frame,39,:,13.962552070617676
frame,40,:,14.527287483215332
frame,41,:,14.1235933303833
frame,42,:,11.804784774780273
frame,43,:,11.567798614501953
frame,44,:,11.081687927246094
frame,45,:,11.331892967224121
frame,46,:,11.170473098754883
frame,47,:,11.100754737854004
frame,48,:,12.012409210205078
frame,49,:,12.673529624938965
frame,0,:,13.063751220703125
frame,1,:,11.936697006225586
frame,2,:,11.447187423706055
frame,3,:,10.928226470947266
frame,4,:,12.122575759887695
frame,5,:,11.173479080200195
frame,6,:,11.559990882873535
frame,7,:,11.470115661621094
frame,8,:,11.447370529174805
frame,9,:,12.532423973083496
frame,10,:,11.580138206481934
frame,11,:,11.699125289916992
frame,12,:,11.20943546295166
frame,13,:,11.052845001220703
frame,14,:,11.697481155395508
frame,15,:,11.795802116394043
frame,16,:,12.154317855834961
frame,17,:,12.128172874450684
frame,18,:,11.387541770935059
frame,19,:,11.228328704833984
frame,20,:,11.3734769821167
frame,21,:,10.908087730407715
frame,22,:,10.839534759521484
frame,23,:,10.771417617797852
frame,24,:,10.638681411743164
frame,25,:,10.776610374450684
frame,26,:,11.14277172088623
frame,27,:,10.999565124511719
frame,28,:,11.05424690246582
frame,29,:,11.082633972167969
frame,30,:,11.127460479736328
frame,31,:,11.469298362731934
frame,32,:,11.12563705444336
frame,33,:,12.276265144348145
frame,34,:,11.669366836547852
frame,35,:,11.95070743560791
frame,36,:,11.677225112915039
frame,37,:,11.409148216247559
frame,38,:,11.37076473236084
frame,39,:,11.257834434509277
frame,40,:,10.793707847595215
frame,41,:,10.857552528381348
frame,42,:,11.028472900390625
frame,43,:,10.636551856994629
frame,44,:,11.450872421264648
frame,45,:,10.798030853271484
frame,46,:,11.190494537353516
frame,47,:,11.588142395019531
frame,48,:,10.956482887268066
frame,49,:,10.776978492736816
frame,50,:,10.776341438293457
frame,51,:,10.644868850708008
frame,52,:,10.47450065612793
frame,53,:,11.309001922607422
frame,54,:,11.03504467010498
frame,55,:,10.819721221923828
frame,56,:,10.525535583496094
frame,57,:,10.560423851013184
frame,58,:,11.387824058532715
frame,59,:,11.128800392150879
frame,60,:,11.079142570495605
frame,61,:,11.054386138916016
frame,62,:,10.842764854431152
frame,63,:,10.662062644958496
frame,64,:,10.82065200805664
frame,65,:,11.064634323120117
frame,66,:,10.964568138122559
frame,67,:,11.147920608520508
frame,68,:,10.616178512573242
frame,69,:,10.249597549438477
frame,70,:,10.087817192077637
frame,71,:,10.387359619140625
frame,72,:,10.39730453491211
frame,73,:,10.141695976257324
frame,74,:,10.169058799743652
frame,75,:,10.398680686950684
frame,76,:,10.467549324035645
frame,77,:,10.811466217041016
frame,78,:,10.380844116210938
frame,79,:,10.486586570739746
frame,80,:,10.501901626586914
frame,81,:,10.50290584564209
frame,82,:,10.53642749786377
frame,83,:,10.589323043823242
frame,84,:,10.398547172546387
frame,85,:,10.101633071899414
frame,86,:,10.51962947845459
frame,87,:,10.672383308410645
frame,88,:,10.820735931396484
frame,89,:,11.142010688781738
frame,90,:,11.403425216674805
frame,91,:,10.583348274230957
frame,92,:,10.526466369628906
frame,93,:,10.512907981872559
frame,94,:,10.55998420715332
frame,95,:,10.49953556060791
frame,96,:,10.68252182006836
frame,97,:,10.677054405212402
frame,98,:,10.480350494384766
frame,99,:,10.393238067626953
frame,100,:,10.657073020935059
frame,101,:,10.37312126159668
frame,102,:,10.35938549041748
frame,103,:,10.322667121887207
frame,104,:,10.347535133361816
frame,105,:,10.310422897338867
frame,106,:,10.309401512145996
frame,107,:,10.375377655029297
frame,108,:,10.258683204650879
frame,109,:,10.397919654846191
frame,110,:,11.266440391540527
frame,111,:,10.284339904785156
frame,112,:,10.279916763305664
frame,113,:,10.131903648376465
frame,114,:,10.419325828552246
frame,115,:,10.62518310546875
frame,116,:,10.774176597595215
frame,117,:,10.800250053405762
frame,118,:,10.554558753967285
frame,119,:,10.737732887268066
frame,120,:,10.210511207580566
frame,121,:,10.454320907592773
frame,122,:,10.623651504516602
frame,123,:,10.450726509094238
frame,124,:,10.752877235412598
frame,125,:,10.801396369934082
frame,126,:,11.549221992492676
frame,127,:,11.0947904586792
frame,128,:,11.358675956726074
frame,129,:,12.023123741149902
frame,130,:,11.082039833068848
frame,131,:,10.550812721252441
frame,132,:,10.38632869720459
frame,133,:,11.480737686157227
frame,134,:,11.222289085388184
frame,135,:,10.718661308288574
frame,136,:,10.590351104736328
frame,137,:,10.638006210327148
frame,138,:,10.868146896362305
frame,139,:,11.121010780334473
frame,140,:,11.394370079040527
frame,141,:,11.476495742797852
frame,142,:,11.212272644042969
frame,143,:,11.226385116577148
frame,144,:,11.603466987609863
frame,145,:,11.660682678222656
frame,146,:,11.498340606689453
frame,147,:,11.105345726013184
frame,148,:,11.062810897827148
frame,149,:,11.206181526184082
frame,150,:,11.380916595458984
frame,151,:,11.185691833496094
frame,152,:,11.510915756225586
frame,153,:,11.327901840209961
frame,154,:,11.275617599487305
frame,155,:,10.865474700927734
frame,156,:,11.226860046386719
frame,157,:,10.63255786895752
frame,158,:,11.231807708740234
frame,159,:,11.562994003295898
frame,160,:,10.836277961730957
frame,161,:,10.830592155456543
frame,162,:,11.093487739562988
frame,163,:,10.621689796447754
frame,164,:,10.8655366897583
frame,165,:,10.661308288574219
frame,166,:,10.983439445495605
frame,167,:,11.314329147338867
frame,168,:,11.206392288208008
frame,169,:,11.28259563446045
frame,170,:,11.743372917175293
